class	class label	rhea_name	info	score	ambiguous_with	ambiguous_with label
CHEBI:61557	nucleoside triphosphate(4-)	ribonucleoside 5'-triphosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_37076)	0.75	CHEBI:37076	ribonucleoside 5'-triphosphate
CHEBI:58088	1-phosphatidyl-1D-myo-inositol 3-phosphate(3-)	1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 3-phosphate)	newsyn	0.9090909090909091		
CHEBI:37581	gamma-lactone	1,4-lactone	newsyn	0.6666666666666666		
CHEBI:136596	4-hydroxy monocarboxylic acid anion	4-hydroxyacid	newsyn	0.6666666666666666		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:58168	1-O-acyl-sn-glycero-3-phosphocholine	1-acyl-sn-glycero-3-phosphocholine	newsyn	0.8571428571428571		
CHEBI:83408	sn-glycerophosphodiester(1-)	sn-glycero-3-phosphoester	newsyn	0.8		
CHEBI:133507	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminide	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl derivative	newsyn	0.9		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:17615	1,2-diacyl-3-beta-D-galactosyl-sn-glycerol	1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol	newsyn	0.9		
CHEBI:140358	monosaccharide 1-phosphate(2-)	monosaccharide 1-phosphate	newsyn	0.75		
CHEBI:140359	UDP-monosaccharide(2-)	UDP-monosaccharide	ambiguous(http://purl.obolibrary.org/obo/CHEBI_17297)	0.6666666666666666	CHEBI:17297	UDP-sugar
CHEBI:22801	beta-D-glucosyl-N-acylsphingosine	beta-D-glucosyl-(1<->1')-N-acylsphing-4-enine	newsyn	0.9		
CHEBI:35915	sterol ester	steryl ester	newsyn	0.6666666666666666		
CHEBI:47788	3-oxo steroid	3-oxosteroid	newsyn	0.6666666666666666		
CHEBI:20156	3-oxo-Delta(1) steroid	3-oxo-Delta(1)-steroid	newsyn	1		
CHEBI:28868	fatty acid anion	fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_35366)	0.6666666666666666	CHEBI:35366	fatty acid
CHEBI:138238	pyrimidine ribonucleoside 5'-monophosphate(2-)	pyrimidine ribonucleoside 5'-phosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_39457)	0.8	CHEBI:39457	pyrimidine ribonucleoside 5'-monophosphate
CHEBI:57560	long-chain fatty acid anion	long-chain fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_15904)	0.8	CHEBI:15904	long-chain fatty acid
CHEBI:58088	1-phosphatidyl-1D-myo-inositol 3-phosphate(3-)	1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 3-phosphate)	newsyn	0.9090909090909091		
CHEBI:57923	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)	1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3,5-bisphosphate)	newsyn	0.9166666666666666		
CHEBI:61557	nucleoside triphosphate(4-)	ribonucleoside 5'-triphosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_37076)	0.75	CHEBI:37076	ribonucleoside 5'-triphosphate
CHEBI:35179	2-oxo monocarboxylic acid anion	2-oxocarboxylate	newsyn	0.6666666666666666		
CHEBI:47909	3-oxo-Delta(4) steroid	3-oxo-Delta(4)-steroid	newsyn	1		
CHEBI:35179	2-oxo monocarboxylic acid anion	2-oxocarboxylate	newsyn	0.6666666666666666		
CHEBI:132124	1,4-benzoquinones	quinone	ambiguous(http://purl.obolibrary.org/obo/CHEBI_36141)	0.5	CHEBI:36141	quinone
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:24646	hydroquinones	quinol	newsyn	0.5		
CHEBI:59871	D-alpha-amino acid zwitterion	D-amino acid	newsyn	0.75		
CHEBI:136913	monoacyl-sn-glycero-3-phospholipid	monoacylglycerophospholipid	newsyn	0.5		
CHEBI:64982	2-acyl-sn-glycero-3-phosphate(2-)	2-acyl-sn-glycerol 3-phosphate	newsyn	1		
CHEBI:58608	1,2-diacyl-sn-glycerol 3-phosphate(2-)	1,2-diacyl-sn-glycero-3-phosphate	newsyn	0.8571428571428571		
CHEBI:133507	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminide	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl derivative	newsyn	0.9		
CHEBI:137941	beta-D-galactosyl-(1->4)-[alpha-L-fucosyl-(1->3)]-N-acetyl-beta-D-glucosaminide	beta-D-galactosyl-(1->4)-[alpha-L-fucosyl-(1->3)]-N-acetyl-beta-D-glucosaminyl derivative	newsyn	0.9285714285714286		
CHEBI:132124	1,4-benzoquinones	quinone	ambiguous(http://purl.obolibrary.org/obo/CHEBI_36141)	0.5	CHEBI:36141	quinone
CHEBI:134225	1,4-benzosemiquinones	1,4-benzosemiquinone	ambiguous(http://purl.obolibrary.org/obo/CHEBI_17977)	0.6666666666666666	CHEBI:17977	1,4-benzosemiquinone
CHEBI:57997	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol zwitterion	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	ambiguous(http://purl.obolibrary.org/obo/CHEBI_17049)	0.9	CHEBI:17049	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
CHEBI:133507	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminide	beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl derivative	newsyn	0.9		
CHEBI:58608	1,2-diacyl-sn-glycerol 3-phosphate(2-)	1,2-diacyl-sn-glycero-3-phosphate	newsyn	0.8571428571428571		
CHEBI:83724	very long-chain 3-substituted propanoyl-CoA(4-)	very-long-chain 2,3-saturated fatty acyl-CoA	newsyn	0.8888888888888888		
CHEBI:83728	very long-chain 2,3-trans-enoyl CoA(4-)	very-long-chain (2E)-enoyl-CoA	newsyn	0.8571428571428571		
CHEBI:83723	medium-chain 3-substituted propanoyl-CoA(4-)	medium-chain 2,3-saturated fatty acyl-CoA	newsyn	0.875		
CHEBI:83726	medium-chain 2,3-trans-enoyl CoA(4-)	medium-chain trans-(2E)-enoyl-CoA	newsyn	0.8571428571428571		
CHEBI:66954	2',3'-cyclic nucleotide(1-)	nucleoside 2',3'-cyclic phosphate	newsyn	0.8		
CHEBI:78552	ribonucleoside 2'-monophosphate(2-)	nucleoside 2'-phosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_53010)	0.75	CHEBI:53010	nucleoside 2'-phosphate
CHEBI:58332	CDP-diacylglycerol(2-)	CDP-1,2-diacyl-sn-glycerol	newsyn	0.8333333333333334		
CHEBI:58464	nucleoside 3',5'-cyclic phosphate anion	nucleoside 3',5'-cyclic phosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_18375)	0.8	CHEBI:18375	nucleoside 3',5'-cyclic phosphate
CHEBI:57867	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_16701)	0.75	CHEBI:16701	nucleoside 5'-phosphate
CHEBI:62031	polar amino acid zwitterion	polar amino acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_26167)	0.75	CHEBI:26167	polar amino acid
CHEBI:62031	polar amino acid zwitterion	polar amino acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_26167)	0.75	CHEBI:26167	polar amino acid
CHEBI:47909	3-oxo-Delta(4) steroid	3-oxo-Delta(4)-steroid	newsyn	1		
CHEBI:57265	6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-)	6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	ambiguous(http://purl.obolibrary.org/obo/CHEBI_12194)	1	CHEBI:12194	6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
CHEBI:17615	1,2-diacyl-3-beta-D-galactosyl-sn-glycerol	1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol	newsyn	0.9		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:16247	phospholipid	phospholipid derivative	newsyn	0.6666666666666666		
CHEBI:16247	phospholipid	phospholipid derivative	newsyn	0.6666666666666666		
CHEBI:67140	phosphate monoester dianion	phosphate monoester	ambiguous(http://purl.obolibrary.org/obo/CHEBI_7794)	0.6666666666666666	CHEBI:7794	phosphate monoester
CHEBI:13197	ribonucleoside 3'-monophosphate(2-)	ribonucleoside 3'-phosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_37013)	0.75	CHEBI:37013	ribonucleoside 3'-phosphate
CHEBI:58168	1-O-acyl-sn-glycero-3-phosphocholine	1-acyl-sn-glycero-3-phosphocholine	newsyn	0.8571428571428571		
CHEBI:28868	fatty acid anion	fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_35366)	0.6666666666666666	CHEBI:35366	fatty acid
CHEBI:58332	CDP-diacylglycerol(2-)	CDP-1,2-diacyl-sn-glycerol	newsyn	0.8333333333333334		
CHEBI:58608	1,2-diacyl-sn-glycerol 3-phosphate(2-)	1,2-diacyl-sn-glycero-3-phosphate	newsyn	0.8571428571428571		
CHEBI:17408	monoglyceride	monoacylglycerol	newsyn	0.5		
CHEBI:57560	long-chain fatty acid anion	long-chain fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_15904)	0.8	CHEBI:15904	long-chain fatty acid
CHEBI:83139	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	ambiguous(http://purl.obolibrary.org/obo/CHEBI_33184)	0.8333333333333334	CHEBI:33184	long-chain fatty acyl-CoA
CHEBI:83139	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	ambiguous(http://purl.obolibrary.org/obo/CHEBI_33184)	0.8333333333333334	CHEBI:33184	long-chain fatty acyl-CoA
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:133470	beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminide	beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl derivative	newsyn	0.9090909090909091		
CHEBI:28250	6-O-acetyl-beta-D-galactoside	6-acetyl-beta-D-galactoside	newsyn	0.8333333333333334		
CHEBI:58168	1-O-acyl-sn-glycero-3-phosphocholine	1-acyl-sn-glycero-3-phosphocholine	newsyn	0.8571428571428571		
CHEBI:28868	fatty acid anion	fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_35366)	0.6666666666666666	CHEBI:35366	fatty acid
CHEBI:17354	16beta-hydroxy steroid	16beta-hydroxysteroid	newsyn	0.6666666666666666		
CHEBI:57930	nucleoside 5'-diphosphate(3-)	ribonucleoside 5'-diphosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_37075)	0.75	CHEBI:37075	ribonucleoside 5'-diphosphate
CHEBI:17615	1,2-diacyl-3-beta-D-galactosyl-sn-glycerol	1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol	newsyn	0.9		
CHEBI:87082	3-[beta-D-galactosyl-(1->6)-beta-D-galactosyl]-1,2-diacyl-sn-glycerol	1,2-diacyl-3-O-[beta-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol	newsyn	0.9166666666666666		
CHEBI:57739	phosphatidate(2-)	1,2-diacylglycero-3-phosphate	newsyn	0.8		
CHEBI:57318	(S)-3-hydroxyacyl-CoA(4-)	(3S)-hydroxyacyl-CoA	newsyn	0		
CHEBI:58856	2,3-trans-enoyl CoA(4-)	(2E)-enoyl CoA	newsyn	0		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:58608	1,2-diacyl-sn-glycerol 3-phosphate(2-)	1,2-diacyl-sn-glycero-3-phosphate	newsyn	0.8571428571428571		
CHEBI:58332	CDP-diacylglycerol(2-)	CDP-1,2-diacyl-sn-glycerol	newsyn	0.8333333333333334		
CHEBI:57930	nucleoside 5'-diphosphate(3-)	ribonucleoside 5'-diphosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_37075)	0.75	CHEBI:37075	ribonucleoside 5'-diphosphate
CHEBI:27741	3'-hydroxyflavonoid	3'-hydroxyflavone	ambiguous(http://purl.obolibrary.org/obo/CHEBI_63326)	0.6666666666666666	CHEBI:63326	3'-hydroxyflavone
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:57560	long-chain fatty acid anion	long-chain fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_15904)	0.8	CHEBI:15904	long-chain fatty acid
CHEBI:60522	phosphatidylglycerol phosphate(3-)	phosphatidylglycerol phosphate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_17264)	0.6666666666666666	CHEBI:17264	phosphatidylglycerol phosphate
CHEBI:60523	phosphatidylglycerol(1-)	phosphatidylglycerol	ambiguous(http://purl.obolibrary.org/obo/CHEBI_17517)	0.5	CHEBI:17517	phosphatidylglycerol
CHEBI:17389	2-monoglyceride	2-acylglycerol	newsyn	0.6666666666666666		
CHEBI:49172	1,2-diglyceride	1,2-diacylglycerol	newsyn	0.6666666666666666		
CHEBI:28868	fatty acid anion	fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_35366)	0.6666666666666666	CHEBI:35366	fatty acid
CHEBI:35179	2-oxo monocarboxylic acid anion	2-oxocarboxylate	newsyn	0.6666666666666666		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:29067	carboxylic acid anion	carboxylate	newsyn	0.5		
CHEBI:35348	3beta-sterol	3beta-hydroxysterol	newsyn	0.6666666666666666		
CHEBI:17855	triglyceride	triacylglycerol	newsyn	0.5		
CHEBI:18035	diglyceride	diacylglycerol	newsyn	0.5		
CHEBI:18063	2-O-acyl-3-O-beta-D-galactosyl-sn-glycerol	2-acyl-3-O-(beta-D-galactosyl)-sn-glycerol	newsyn	1		
CHEBI:17615	1,2-diacyl-3-beta-D-galactosyl-sn-glycerol	1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol	newsyn	0.9		
CHEBI:57880	1-phosphatidyl-1D-myo-inositol(1-)	1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)	newsyn	0.9		
CHEBI:28868	fatty acid anion	fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_35366)	0.6666666666666666	CHEBI:35366	fatty acid
CHEBI:57560	long-chain fatty acid anion	long-chain fatty acid	ambiguous(http://purl.obolibrary.org/obo/CHEBI_15904)	0.8	CHEBI:15904	long-chain fatty acid
CHEBI:58088	1-phosphatidyl-1D-myo-inositol 3-phosphate(3-)	1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 3-phosphate)	newsyn	0.9090909090909091		
CHEBI:140317	phenyl sulfate oxoanion	phenyl sulfate	ambiguous(http://purl.obolibrary.org/obo/CHEBI_85289)	0.6666666666666666	CHEBI:85289	phenyl sulfate
CHEBI:33853	phenols	phenol	ambiguous(http://purl.obolibrary.org/obo/CHEBI_15882)	0.5	CHEBI:15882	phenol
