rhea_participant	pred	xrefs	chebi	chebi label	ambigs	ambigs label	ambig_relations	inchitest
(+)-nootkatone	exact	UniProt	CHEBI:81377	(+)-nootkatone				different_inchikeys
(+)-pinoresinol	exact	UniProt	CHEBI:40	(+)-pinoresinol				different_inchikeys
(+)-piperitol	related	ChEBI|UniProt	CHEBI:141003	4-[(1S,3aR,4S,6aR)-4-(1,3-benzodioxol-5-yl)tetrahydrofuro[3,4-c]furan-1-yl]-2-methoxyphenol				different_inchikeys
(+)-pisatin	exact	UniProt	CHEBI:67347	(+)-pisatin				different_inchikeys
(+)-sativene	related	SUBMITTER|UniProt	CHEBI:64800	sativene				different_inchikeys
(+)-secoisolariciresinol	exact	UniProt	CHEBI:67247	(+)-secoisolariciresinol				different_inchikeys
(+)-sesamin	exact	UniProt	CHEBI:66470	(+)-sesamin				different_inchikeys
(+)-sesamin dicatechol	exact	UniProt	CHEBI:136543	(+)-sesamin dicatechol				different_inchikeys
(+)-sesamin monocatechol	exact	UniProt	CHEBI:136542	(+)-sesamin monocatechol				different_inchikeys
(+)-thujan-3-ol	exact	UniProt	CHEBI:63902	(+)-thujan-3-ol				different_inchikeys
(+)-thujan-3-one	related	UniProt	CHEBI:50043	(+)-alpha-thujone				different_inchikeys
(+)-thujopsene	exact	UniProt	CHEBI:61737	(+)-thujopsene				different_inchikeys
(+)-valencene	exact	UniProt	CHEBI:61700	(+)-valencene				different_inchikeys
(+-)-pavine	related	UniProt	CHEBI:76921	pavine(1+)	related+http://purl.obolibrary.org/obo/CHEBI_77048		http://purl.obolibrary.org/obo/chebi#is_conjugate_base_of	same_inchikey
(+-)-trans-acenaphthene-1,2-diol	exact	UniProt	CHEBI:28395	(+-)-trans-acenaphthene-1,2-diol				different_inchikeys
(-)-4'-desmethyl-deoxypodophyllotoxin	related	UniProt	CHEBI:1729	4'-demethyldeoxypodophyllotoxin				different_inchikeys
(-)-5'-demethylyatein	related	UniProt	CHEBI:90894	(-)-5'-desmethylyatein				different_inchikeys
(-)-7-epi-alpha-selinene	exact	UniProt	CHEBI:62224	(-)-7-epi-alpha-selinene				different_inchikeys
(-)-alpha-amorphene	exact	UniProt	CHEBI:137533	(-)-alpha-amorphene				different_inchikeys
(-)-alpha-cedrene	related	ChEBI|UniProt	CHEBI:10216	cedr-8-ene				different_inchikeys
(-)-alpha-cuprenene	exact	UniProt	CHEBI:63701	(-)-alpha-cuprenene				different_inchikeys
(-)-alpha-gurjunene	exact	UniProt	CHEBI:61699	(-)-alpha-gurjunene				different_inchikeys
(-)-alpha-isocomene	exact	UniProt	CHEBI:68666	(-)-alpha-isocomene				different_inchikeys
(-)-beta-caryophyllene	exact	UniProt	CHEBI:10357	(-)-beta-caryophyllene				different_inchikeys
(-)-beta-curcumene	exact	UniProt	CHEBI:62760	(-)-beta-curcumene				different_inchikeys
(-)-beta-phellandrene	exact	UniProt	CHEBI:129	(-)-beta-phellandrene				different_inchikeys
(-)-beta-santalene	exact	UniProt	CHEBI:10440	(-)-beta-santalene				different_inchikeys
(-)-bursehernin	exact	UniProt	CHEBI:90893	(-)-bursehernin				different_inchikeys
(-)-car-3-ene	exact	UniProt	CHEBI:3381	(-)-car-3-ene				different_inchikeys
(-)-dehydrodiconiferyl acid	related	UniProt	CHEBI:131932	glycosmisate	related+http://purl.obolibrary.org/obo/CHEBI_132245		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
