rhea_participant	pred	xrefs	chebi	chebi label	ambigs	ambigs label	ambig_relations	inchitest
2'-hydroxygenistein	related	UniProt	CHEBI:140306	2'-hydroxygenistein(1-)	label+http://purl.obolibrary.org/obo/CHEBI_70031		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2'-hydroxyisoflavone	exact		CHEBI:28206	2'-hydroxyisoflavones				different_inchikeys
2'-phospho-cyclic ADP-ribose	related	UniProt	CHEBI:75970	2'-phospho-cyclic ADP-ribose(3-)	label+http://purl.obolibrary.org/obo/CHEBI_76081		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2'-unsubstituted isoflavone	exact		CHEBI:136891	2'-unsubstituted isoflavones				different_inchikeys
2,2',3-trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl	related	UniProt	CHEBI:141402	5,6,6'-trihydroxy-5'-methoxy[biphenyl]-3,3'-dicarboxylate	related+http://purl.obolibrary.org/obo/CHEBI_81694		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,2',3-trihydroxydiphenyl ether	related	UniProt	CHEBI:79174	2,2',3-trihydroxydiphenyl ether(2-)	label+http://purl.obolibrary.org/obo/CHEBI_27381		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,2'-dioxospirilloxanthin	exact	UniProt	CHEBI:64793	2,2'-dioxospirilloxanthin				different_inchikeys
2,2'-disulfonyl azobenzene	related	UniProt	CHEBI:63950	2,2'-disulfonatoazobenzene	related+http://purl.obolibrary.org/obo/CHEBI_63947		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,2'-iminodipropanoate	related	UniProt	CHEBI:58934	2,2'-iminodipropanoate(1-)	label+http://purl.obolibrary.org/obo/CHEBI_17560		no_relationship	same_inchikey
2,2-bis(4-hydroxyphenyl)-1-propanol	related	UniProt	CHEBI:33613	2,2-bis(4-hydroxyphenyl)propan-1-ol				different_inchikeys
2,2-dialkylglycine	related	UniProt	CHEBI:57689	2,2-dialkylglycine zwitterion	label+http://purl.obolibrary.org/obo/CHEBI_16228		http://purl.obolibrary.org/obo/chebi#is_tautomer_of	different_inchikeys
2,2-dihydroxyspheroidene	exact	UniProt	CHEBI:91223	2,2-dihydroxyspheroidene				different_inchikeys
2,2-dihydroxyspirilloxanthin	exact	UniProt	CHEBI:91228	2,2-dihydroxyspirilloxanthin				different_inchikeys
2,2-dimethylpropanoyl-CoA	related	UniProt	CHEBI:136712	pivaloyl-CoA(4-)	related+http://purl.obolibrary.org/obo/CHEBI_137545		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,3',4,6-tetrahydroxybenzophenone	related	UniProt	CHEBI:77647	2,3',4,6-tetrahydroxybenzophenone(1-)	label+http://purl.obolibrary.org/obo/CHEBI_15718		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,3,5,6-tetrachloro-1,4-benzoquinone	related	ChemIDplus|UniProt	CHEBI:36703	tetrachloro-1,4-benzoquinone				different_inchikeys
2,3,5,6-tetrachlorohydroquinone	related	UniProt	CHEBI:57994	2,3,5,6-tetrachlorobenzene-1,4-bis(olate)				different_inchikeys
2,3,5,6-tetrachlorophenol	related	UniProt	CHEBI:59815	2,3,5,6-tetrachlorophenolate	exact+http://purl.obolibrary.org/obo/CHEBI_52048|label+http://purl.obolibrary.org/obo/CHEBI_52048	|	http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,3,5-trihydroxytoluene	exact	UniProt	CHEBI:17185	2,3,5-trihydroxytoluene				different_inchikeys
2,3,6-trichlorohydroquinone	related	UniProt	CHEBI:141023	2,3,6-trichloro-4-hydroxyphenolate				different_inchikeys
2,3,6-trihydroxypyridine	exact	UniProt	CHEBI:16683	2,3,6-trihydroxypyridine				different_inchikeys
2,3-bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate	related	UniProt	CHEBI:58837	2,3-bis-O-(geranylgeranyl)-sn-glycerol 1-phosphate(2-)				different_inchikeys
2,3-bis-(O-phytanyl)-sn-glycerol 1-phosphate	related	UniProt	CHEBI:73125	2,3-bis-O-phytanyl-sn-glycerol 1-phosphate(2-)				different_inchikeys
2,3-bis-O-(geranylgeranyl)-sn-glycerol 1-phospholipid	exact		CHEBI:138140	2,3-bis-O-(geranylgeranyl)-sn-glycerol 1-phospholipid anion				different_inchikeys
2,3-bis-O-phytanyl-sn-glycero-3-phospho-L-serine	related	UniProt	CHEBI:74853	2,3-bis-O-phytanyl-sn-glycero-3-phospho-L-serine(1-)	label+http://purl.obolibrary.org/obo/CHEBI_75075		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,3-bis-O-phytanyl-sn-glycerol 1-phospholipid	exact		CHEBI:138139	2,3-bis-O-phytanyl-sn-glycerol 1-phospholipid anion				different_inchikeys
2,3-bisphospho-D-glycerate	related	UniProt	CHEBI:58248	2,3-bisphosphonato-D-glycerate(5-)	related+http://purl.obolibrary.org/obo/CHEBI_17720		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,3-dehydroacyl-CoA	exact		CHEBI:60015	2,3-dehydroacyl-CoA(4-)	related+http://purl.obolibrary.org/obo/CHEBI_19573		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	different_inchikeys
2,3-di-(9Z)-hexadecenoyl-sn-glycerol	related	UniProt	CHEBI:75853	2,3-dipalmitoleoyl-sn-glycerol				different_inchikeys
2,3-di-(9Z)-octadecenoyl-sn-glycerol	related	UniProt	CHEBI:75824	2,3-dioleoyl-sn-glycerol				different_inchikeys
2,3-di-(9Z,12Z)-octadecadienoyl-sn-glycerol	related	UniProt	CHEBI:75854	2,3-dilinoleoyl-sn-glycerol				different_inchikeys
2,3-di-(9Z,12Z,15Z)-octadecatrienoyl-sn-glycerol	related	UniProt	CHEBI:75855	2,3-dilinolenoyl-sn-glycerol				different_inchikeys
2,3-diacyl-alpha-D-glucosaminyl 1-phosphate	exact	UniProt	CHEBI:137180	2,3-diacyl-alpha-D-glucosaminyl 1-phosphate				different_inchikeys
2,3-diacyl-sn-glycerol	exact	UniProt	CHEBI:75524	2,3-diacyl-sn-glycerol				different_inchikeys
2,3-didecanoyl-sn-glycerol	related	UniProt	CHEBI:49181	(R)-1,2-didecanoylglycerol				different_inchikeys
2,3-didehydroadipoyl-CoA	related	UniProt	CHEBI:71044	2,3-didehydroadipoyl-CoA(5-)	label+http://purl.obolibrary.org/obo/CHEBI_71163		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,3-didehydroadipyl-CoA	related	UniProt	CHEBI:67261	(Z)-2,3-dehydroadipyl-CoA(5-)				different_inchikeys
2,3-didehydropimeloyl-CoA	related	UniProt	CHEBI:57359	2,3-didehydropimeloyl-CoA(5-)	label+http://purl.obolibrary.org/obo/CHEBI_15503		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,3-didodecanoyl-sn-glycerol	related	UniProt	CHEBI:77390	2,3-dilauroyl-sn-glycerol				different_inchikeys
2,3-dihexadecanoyl-sn-glycerol	related	UniProt	CHEBI:77394	2,3-dipalmitoyl-sn-glycerol				different_inchikeys
2,3-dihexanoyl-sn-glycerol	exact	UniProt	CHEBI:77387	2,3-dihexanoyl-sn-glycerol				different_inchikeys
2,3-dihydrobiochanin A	exact	IUBMB|UniProt	CHEBI:15712	2,3-dihydrobiochanin A				different_inchikeys
2,3-dihydroxy-2,3-dihydrobenzoyl-CoA	related	UniProt	CHEBI:58785	2,3-dihydroxy-2,3-dihydrobenzoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_49178		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,3-dihydroxy-3-methylbutanoate	exact	UniProt	CHEBI:11424	2,3-dihydroxy-3-methylbutanoate				different_inchikeys
2,3-dihydroxy-p-cumate	exact	UniProt	CHEBI:36647	2,3-dihydroxy-p-cumate				different_inchikeys
2,3-dihydroxybenzenesulfonate	exact	IUPAC|UniProt	CHEBI:33565	2,3-dihydroxybenzenesulfonate				different_inchikeys
2,3-dihydroxybenzoate	exact	IUPAC|UniProt	CHEBI:36654	2,3-dihydroxybenzoate				different_inchikeys
2,3-dihydroxybenzoyl 5'-adenylate	related	UniProt	CHEBI:57417	2,3-dihydroxybenzoyl 5'-adenylate(1-)	exact+http://purl.obolibrary.org/obo/CHEBI_15572|label+http://purl.obolibrary.org/obo/CHEBI_15572	|	http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,3-dihydroxydodecanoate	exact	UniProt	CHEBI:141780	2,3-dihydroxydodecanoate				different_inchikeys
2,3-dihydroxyindole	exact	UniProt	CHEBI:17828	2,3-dihydroxyindole				different_inchikeys
2,3-dihydroxypropane-1-sulfonate	exact	IUPAC|SUBMITTER|UniProt	CHEBI:77138	3-sulfopropanediol(1-)				different_inchikeys
2,3-dimethyl-6-phytylbenzene-1,4-diol	related	UniProt	CHEBI:75921	(R,R)-2,3-dimethyl-6-phytylhydroquinone				different_inchikeys
2,3-dinitrotoluene	exact	UniProt	CHEBI:142287	2,3-dinitrotoluene				different_inchikeys
2,3-dioctadecanoyl-sn-glycerol	related	UniProt	CHEBI:77395	2,3-distearoyl-sn-glycerol				different_inchikeys
2,3-dioctanoyl-sn-glycerol	related	ChEBI|UniProt	CHEBI:76982	sn-2,3-dicaprilin				different_inchikeys
2,3-dioxo-L-gulonate	related	UniProt	CHEBI:57441	2,3-diketogulonate				different_inchikeys
2,3-dioxopropyl phosphate	exact	IUPAC|UniProt	CHEBI:58860	hydroxypyruvaldehyde phosphate(2-)				different_inchikeys
2,3-ditetradecanoyl-sn-glycerol	related	UniProt	CHEBI:77392	2,3-dimyristoyl-sn-glycerol				different_inchikeys
2,3-epoxy-2,3-dihydrobenzoyl-CoA	related	UniProt	CHEBI:88118	2,3-epoxy-2,3-dihydrobenzoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_90162		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	different_inchikeys
2,3-epoxyphylloquinone	exact	UniProt	CHEBI:15759	2,3-epoxyphylloquinone				different_inchikeys
2,3-saturated acyl-CoA	exact		CHEBI:65111	3-substituted propionyl-CoA(4-)				different_inchikeys
2,3-saturated aldehyde	exact		CHEBI:73359	alpha-CH2-containing aldehyde				different_inchikeys
2,3-saturated fatty acid	related	UniProt	CHEBI:76928	2,3-saturated fatty acid(1-)	label+http://purl.obolibrary.org/obo/CHEBI_76929		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	different_inchikeys
2,3-saturated fatty aldehyde	exact	UniProt	CHEBI:84587	2,3-saturated fatty aldehyde				different_inchikeys
2,4'-dihydroxyacetophenone	exact	UniProt	CHEBI:35164	2,4'-dihydroxyacetophenone				different_inchikeys
2,4,5-trichlorocyclohexa-2,5-dien-1-ol	exact	IUPAC|UniProt	CHEBI:28989	2,4,5-trichlorocyclohexa-2,5-dien-1-ol				different_inchikeys
2,4,5-trihydroxyphenylacetate	exact	UniProt	CHEBI:138056	2,4,5-trihydroxyphenylacetate				different_inchikeys
2,4,6-trichloroanisole	exact	UniProt	CHEBI:19333	2,4,6-trichloroanisole				different_inchikeys
2,4,6-trichlorophenol	related	UniProt	CHEBI:140426	2,4,6-trichlorophenolate	exact+http://purl.obolibrary.org/obo/CHEBI_28755|label+http://purl.obolibrary.org/obo/CHEBI_28755	|	http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,4,6-trihydroxybenzophenone	related	UniProt	CHEBI:77765	2,4,6-trihydroxybenzophenone(1-)	label+http://purl.obolibrary.org/obo/CHEBI_28233		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,4-diacetamido-2,4,6-trideoxy-alpha-D-mannopyranose	exact	UniProt	CHEBI:68645	2,4-diacetamido-2,4,6-trideoxy-alpha-D-mannopyranose				different_inchikeys
2,4-diacetamido-2,4,6-trideoxy-beta-L-altrose	exact	UniProt	CHEBI:63283	2,4-diacetamido-2,4,6-trideoxy-beta-L-altrose				different_inchikeys
2,4-diacetylphloroglucinol	related	UniProt	CHEBI:140662	2,4-diacetylphloroglucinol(1-)	label+http://purl.obolibrary.org/obo/CHEBI_78688		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,4-dibromophenol	exact	UniProt	CHEBI:34238	2,4-dibromophenol				different_inchikeys
2,4-dichloro-5-oxo-2,5-dihydro-2-furylacetate	exact	UniProt	CHEBI:57641	2,4-dichloro-5-oxo-2,5-dihydro-2-furylacetate				different_inchikeys
2,4-dichlorobenzoyl-CoA	related	UniProt	CHEBI:57329	2,4-dichlorobenzoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_15470		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,4-dichlorophenol	exact	IUPAC|UniProt	CHEBI:16738	2,4-dichlorophenol				different_inchikeys
2,4-didehydro-3-deoxy-L-rhamnonate	exact	UniProt	CHEBI:131847	2,4-didehydro-3-deoxy-L-rhamnonate				different_inchikeys
2,4-dihydroxypteridine	label		CHEBI:73186	2,4-dihydroxypteridine				different_inchikeys
2,4-dihydroxypteridine	related	UniProt	CHEBI:16489	lumazine	label+http://purl.obolibrary.org/obo/CHEBI_73186		direct_superClassOf	different_inchikeys
2,4-dinitroanisole	exact	UniProt	CHEBI:84559	2,4-dinitroanisole				different_inchikeys
2,4-dinitrophenol	related	UniProt	CHEBI:84561	2,4-dinitrophenol(1-)	exact+http://purl.obolibrary.org/obo/CHEBI_42017|label+http://purl.obolibrary.org/obo/CHEBI_42017	|	http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,4-dinitrophenyl-S-glutathione	related	UniProt	CHEBI:133977	S-(2,4-dinitrophenyl)glutathione(1-)				different_inchikeys
2,4-dinitrotoluene	exact	UniProt	CHEBI:920	2,4-dinitrotoluene				different_inchikeys
2,5,6-triamino-4-hydroxypyrimidine	exact	UniProt	CHEBI:137796	2,5,6-triamino-4-hydroxypyrimidine				different_inchikeys
2,5-diamino-6-(1-D-ribitylamino)pyrimidin-4(3H)-one 5'-phosphate	related	UniProt	CHEBI:58890	2,5-diamino-6-(1-D-ribitylamino)pyrimidin-4(3H)-one 5'-phosphate(2-)				different_inchikeys
2,5-diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate	related	UniProt	CHEBI:59545	2,5-diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate(2-)	label+http://purl.obolibrary.org/obo/CHEBI_59546		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine	related	UniProt	CHEBI:58614	2,5-diamino-4-hydroxy-6-(5-phosphonatoribosylamino)pyrimidine(3-)				different_inchikeys
2,5-dicarboxyfuran	related	UniProt	CHEBI:83389	furan-2,5-dicarboxylate	related+http://purl.obolibrary.org/obo/CHEBI_84212		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,5-dichlorocyclohexa-2,5-dien-1,4-diol	related	UniProt	CHEBI:28975	2,5-dichloro-2,5-cyclohexadiene-1,4-diol				different_inchikeys
2,5-dichlorohydroquinone	exact	UniProt	CHEBI:27545	2,5-dichlorohydroquinone				different_inchikeys
2,5-didehydro-D-gluconate	exact	UniProt	CHEBI:11449	2,5-didehydro-D-gluconate				different_inchikeys
2,5-diformylfuran	exact	UniProt	CHEBI:83385	2,5-diformylfuran				different_inchikeys
2,5-dihydroxybenzoate	exact	IUPAC|UniProt	CHEBI:58044	2,5-dihydroxybenzoate				different_inchikeys
2,5-dihydroxybenzoyl-CoA	related	UniProt	CHEBI:88147	2,5-dihydroxybenzoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_90176		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,5-dihydroxypyridine	related	UniProt	CHEBI:16364	pyridine-2,5-diol				different_inchikeys
2,5-dioxopentanoate	exact	IUPAC|UniProt	CHEBI:58136	2,5-dioxopentanoate				different_inchikeys
2,5-dioxopiperazine	related	UniProt	CHEBI:16535	piperazine-2,5-dione				different_inchikeys
2,6,10,14-tetramethylpentadecanal	exact	IUPAC|UniProt	CHEBI:49189	pristanal				different_inchikeys
2,6,10,14-tetramethylpentadecanoate	exact	IUPAC|UniProt	CHEBI:77268	pristanate				different_inchikeys
2,6-O-bis(alpha-D-mannopyranosyl)-1-phosphatidyl-1D-myo-inositol	exact		CHEBI:136624	2,6-O-bis(alpha-D-mannopyranosyl)-1-phosphatidyl-1D-myo-inositol(1-)	label+http://purl.obolibrary.org/obo/CHEBI_137463		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	different_inchikeys
2,6-dichlorohydroquinone	related	UniProt	CHEBI:141024	2,6-dichloro-4-hydroxyphenolate	label+http://purl.obolibrary.org/obo/CHEBI_27633		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,6-dihydroxybenzoate	exact	IUPAC|UniProt	CHEBI:131450	2,6-dihydroxybenzoate				different_inchikeys
2,6-dihydroxynicotinate	exact	UniProt	CHEBI:58780	2,6-dihydroxynicotinate				different_inchikeys
2,6-dihydroxypseudooxynicotine	related	UniProt	CHEBI:66944	2,6-dihydroxypseudooxynicotinium(1+)	label+http://purl.obolibrary.org/obo/CHEBI_28220		http://purl.obolibrary.org/obo/chebi#is_conjugate_base_of	same_inchikey
2,6-dihydroxypyridine	related	UniProt	CHEBI:17681	pyridine-2,6-diol				different_inchikeys
2,6-dimethyldeca-2,4,6,8-tetraenedial	exact	UniProt	CHEBI:73152	2,6-dimethyldeca-2,4,6,8-tetraenedial				different_inchikeys
2,6-dimethylheptanoyl-CoA	related	UniProt	CHEBI:84847	2,6-dimethylheptanoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_85504		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2,6-dinitrotoluene	exact	UniProt	CHEBI:957	2,6-dinitrotoluene				different_inchikeys
2,6-dioxo-6-phenylhexa-3-enoate	exact	IUPAC|UniProt	CHEBI:64675	2,6-dioxo-6-phenylhexa-3-enoate(1-)				different_inchikeys
2,6-dioxo-6-phenylhexanoate	exact	IUPAC|UniProt	CHEBI:57479	2,6-dioxo-6-phenylhexanoate				different_inchikeys
2,7-dihydroxy-5-methyl-1-naphthoate	exact	IUPAC|UniProt	CHEBI:78281	2,7-dihydroxy-5-methyl-1-naphthoate				different_inchikeys
2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA	related	UniProt	CHEBI:63458	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_63547		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2-(1-hydroxyethyl)thiamine diphosphate	related	UniProt	CHEBI:58939	2-(1-hydroxyethyl)thiamine diphosphate(2-)	label+http://purl.obolibrary.org/obo/CHEBI_978		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate	related	UniProt	CHEBI:62890	2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate(3-)	label+http://purl.obolibrary.org/obo/CHEBI_62912		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2-(2-methylsulfanyl)ethylmalate	related	UniProt	CHEBI:58816	2-(2-methylthioethyl)malate(2-)				different_inchikeys
2-(2-methylsulfanyl)ethylmaleate	related	UniProt	CHEBI:133499	2-(2-methylthio)ethylmaleate(2-)				different_inchikeys
2-(2-methylsulfanyl)propylmaleate	related	UniProt	CHEBI:133500	2-(2-methylthio)propylmaleate(2-)				different_inchikeys
2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate	exact	IUPAC|UniProt	CHEBI:57628	2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate				different_inchikeys
2-(3,5-dihydroxyphenyl)-2-oxoacetate	related	UniProt	CHEBI:75210	3,5-dihydroxyphenylglyoxylate				different_inchikeys
2-(3-amino-3-carboxypropyl)-L-histidine	related	UniProt	CHEBI:58031	2-(3-amino-3-carboxypropyl)-L-histidine dizwitterion	exact+http://purl.obolibrary.org/obo/CHEBI_17144|label+http://purl.obolibrary.org/obo/CHEBI_17144	|	http://purl.obolibrary.org/obo/chebi#is_tautomer_of	same_inchikey
2-(3-methylsulfanyl)propylmalate	related	UniProt	CHEBI:58817	2-(3-methylthiopropyl)malate(2-)				different_inchikeys
2-(4-dimethylaminophenyl)diazenylbenzoate	related	UniProt	CHEBI:71579	methyl red(1-)				different_inchikeys
2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	related	UniProt	CHEBI:76085	2-(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-sn-glycero-3-phosphocholine				different_inchikeys
2-(5-methylsulfanyl)oxopentanoate	related	UniProt	CHEBI:58815	5-methylthio-2-oxopentanoate				different_inchikeys
2-(5-oxo-2,5-dihydrofuran-2-ylidene)acetate	related	UniProt	CHEBI:57263	4-carboxylatomethylenebut-2-en-4-olide				different_inchikeys
2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phospho-L-serine	related	UniProt	CHEBI:77830	2-arachidonoyl-sn-glycero-3-phospho-L-serine(1-)	related+http://purl.obolibrary.org/obo/CHEBI_78703		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphocholine	related	UniProt	CHEBI:76079	2-arachidonoyl-sn-glycero-3-phosphocholine				different_inchikeys
2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphoethanolamine	related	UniProt	CHEBI:76091	2-arachidonoyl-sn-glycero-3-phosphoethanolamine zwitterion	related+http://purl.obolibrary.org/obo/CHEBI_72741		http://purl.obolibrary.org/obo/chebi#is_tautomer_of	same_inchikey
2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-glycerol	related	UniProt	CHEBI:52392	2-arachidonoylglycerol				different_inchikeys
2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphate	related	UniProt	CHEBI:78209	2-arachidonoyl-sn-glycero-3-phosphate(2-)				different_inchikeys
2-(7Z,10Z,13Z)-hexadecatrienoyl-3-O-(beta-D-galactosyl)-sn-glycerol	related	UniProt	CHEBI:90578	2-(7Z,10Z,13Z)-hexadecatrienoyl-3-(beta-D-galactosyl)-sn-glycerol				different_inchikeys
2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phosphoethanolamine	related	UniProt	CHEBI:76090	2-linoleoyl-sn-glycero-3-phosphoethanolamine zwitterion	related+http://purl.obolibrary.org/obo/CHEBI_76233		http://purl.obolibrary.org/obo/chebi#is_tautomer_of	same_inchikey
2-(9Z,12Z-octadecadienoyl)-glycerol	related	UniProt	CHEBI:75457	2-linoleoylglycerol				different_inchikeys
2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine	related	UniProt	CHEBI:76084	2-linoleoyl-sn-glycero-3-phosphocholine				different_inchikeys
2-(9Z-octadecenoyl)-3-hexadecanoyl-sn-glycerol	related	UniProt	CHEBI:75546	2-oleoyl-3-palmitoyl-sn-glycerol				different_inchikeys
2-(9Z-octadecenoyl)-3-octadecanoyl-sn-glycerol	related	UniProt	CHEBI:75558	2-oleoyl-3-stearoyl-sn-glycerol				different_inchikeys
2-(9Z-octadecenoyl)-glycerol	related	LIPID_MAPS|UniProt	CHEBI:73990	2-oleoylglycerol				different_inchikeys
2-(9Z-octadecenoyl)-sn-glycero-3-phosphate	related	UniProt	CHEBI:77593	2-oleoyl-sn-glycero-3-phosphate(2-)	related+http://purl.obolibrary.org/obo/CHEBI_78270		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol)	related	UniProt	CHEBI:141490	2-oleoyl-sn-glycero-3-phospho-(1'-sn-glycerol)				different_inchikeys
2-(9Z-octadecenoyl)-sn-glycero-3-phospho-L-serine	related	UniProt	CHEBI:77342	2-oleoyl-sn-glycero-3-phosphoserine(1-)				different_inchikeys
2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	related	LIPID_MAPS|UniProt	CHEBI:76071	2-oleoyl-sn-glycero-3-phosphocholine				different_inchikeys
2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine	related	UniProt	CHEBI:76088	2-oleoyl-sn-glycero-3-phosphoethanolamine zwitterion				different_inchikeys
2-(E)-O-feruloyl-D-galactarate	related	UniProt	CHEBI:58901	2-(E)-O-feruloyl-D-galactarate(2-)				different_inchikeys
2-(L-cystein-S-yl)-2-(1H-indol-3-yl)-acetonitrile	related	UniProt	CHEBI:79191	L-Cys(IAN) zwitterion				different_inchikeys
2-(N(omega)-L-arginino)succinate	related	UniProt	CHEBI:57472	(N(omega)-L-arginino)succinate(1-)				different_inchikeys
2-(acetamidomethylene)-3-(hydroxymethyl)succinate	related	UniProt	CHEBI:19418	3-(acetamidomethylene)-2-(hydroxymethyl)succinate(2-)				different_inchikeys
2-(acetamidomethylene)succinate	related	UniProt	CHEBI:57698	2-(acetamidomethylidene)succinate(2-)				different_inchikeys
2-(acylamino)ethyl fatty acid	related	UniProt	CHEBI:84481	N,O-diacylethanolamine				different_inchikeys
2-(alpha-D-galactosyl)-sn-glycerol 3-phosphate	related	UniProt	CHEBI:58169	2-(alpha-D-galactosyl)-sn-glycerol 3-phosphate(2-)	exact+http://purl.obolibrary.org/obo/CHEBI_17506|label+http://purl.obolibrary.org/obo/CHEBI_17506	|	http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
2-(beta-D-glucuronosyl)-D-glucuronate	related	UniProt	CHEBI:58230	2-(beta-D-glucopyranosyluronate)-D-glucuronate(2-)				different_inchikeys
2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoate	related	UniProt	CHEBI:57979	2-(carboxylatomethyl)-5-oxo-2,5-dihydro-2-furoate(2-)				different_inchikeys
2-(dihydroxymethyl)-5-formylfuran	exact	UniProt	CHEBI:83386	2-(dihydroxymethyl)-5-formylfuran				different_inchikeys
2-(formamido)-N(1)-(5-phospho-D-ribosyl)acetamidine	related	UniProt	CHEBI:58478	2-formamido-N(1)-(5-O-phosphonato-D-ribosyl)acetamidine				different_inchikeys
2-(glutathion-S-yl)-2-(1H-indol-3-yl)acetonitrile	related	UniProt	CHEBI:64981	gammaGluCys(IAN)Gly(1-)				different_inchikeys
2-(glutathione-S-yl)-hydroquinone	related	UniProt	CHEBI:134616	2-(glutathion-S-yl)-1,4-hydroquinone(1-)				different_inchikeys
2-(glycyl-L-cystein-S-yl)-2-(1H-indol-3-yl)acetonitrile	related	UniProt	CHEBI:136832	Cys(IAN)-Gly zwitterion				different_inchikeys
2-(hydroxyimino)propanoate	exact	IUPAC|UniProt	CHEBI:57487	pyruvate oxime				different_inchikeys
2-(hydroxymethyl)-4-oxobutanoate	exact	IUPAC|UniProt	CHEBI:58135	2-(hydroxymethyl)-4-oxobutanoate				different_inchikeys
2-(hydroxymethyl)glutarate	related	UniProt	CHEBI:58777	2-hydroxymethylglutarate				different_inchikeys
